,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,OrderID,OrderDate,ShipDate,ShipMode,ProductID,Sales,Quantity,Discount,Profit,Category,Sub-Category,ProductName
0,CUST-0095,Stacey Lee,Home Office,USA,Sanchezstad,Oregon,62355,East,ORD-93852,2023-09-12,2023-09-15,Standard Class,PROD-0001,1193.77,4,0.13,351.74,Office Supplies,Paper,Cultural Paper
1,CUST-0083,Chad Rodriguez,Consumer,USA,South Pamela,Arkansas,70085,East,ORD-15325,2024-11-12,2024-11-13,First Class,PROD-0001,662.03,8,0.15,93.14,Office Supplies,Paper,Cultural Paper
2,CUST-0048,Alexander Sandoval,Consumer,USA,Caseybury,Rhode Island,9856,South,ORD-84374,2025-02-14,2025-02-23,First Class,PROD-0001,1547.91,8,0.28,426.05,Office Supplies,Paper,Cultural Paper
3,CUST-0044,Susan Ward,Corporate,USA,New Elizabethside,Minnesota,38535,West,ORD-63771,2023-09-28,2023-10-05,Same Day,PROD-0001,1030.73,1,0.25,181.49,Office Supplies,Paper,Cultural Paper
4,CUST-0193,Daniel Sims,Corporate,USA,South Timothy,West Virginia,96845,West,ORD-84050,2024-02-15,2024-02-18,First Class,PROD-0001,851.55,4,0.27,157.17,Office Supplies,Paper,Cultural Paper
5,CUST-0172,Cassandra Good,Home Office,USA,North Russellville,Hawaii,23235,East,ORD-54546,2023-09-02,2023-09-08,Same Day,PROD-0001,1430.31,3,0.12,247.7,Office Supplies,Paper,Cultural Paper
6,CUST-0002,Shelby Bradley,Corporate,USA,East Christopher,Kansas,10408,South,ORD-57172,2024-06-24,2024-07-04,Second Class,PROD-0002,1138.66,6,0.29,266.52,Furniture,Tables,Picture Tables
7,CUST-0175,Bryan Tran,Home Office,USA,East Deborah,Tennessee,41145,East,ORD-99333,2025-04-26,2025-05-04,Same Day,PROD-0002,265.03,7,0.23,54.96,Furniture,Tables,Picture Tables
8,CUST-0004,Sarah Floyd,Corporate,USA,Port Rachel,Indiana,9367,Central,ORD-77270,2025-07-31,2025-08-09,Second Class,PROD-0002,530.34,9,0.29,135.39,Furniture,Tables,Picture Tables
9,CUST-0294,Nicolas Melendez,Corporate,USA,Tracybury,Delaware,67369,West,ORD-73519,2024-09-05,2024-09-11,First Class,PROD-0002,1303.83,10,0.05,83.09,Furniture,Tables,Picture Tables
10,CUST-0055,Lauren Silva,Corporate,USA,West Tina,North Dakota,98841,Central,ORD-25929,2024-04-11,2024-04-21,Same Day,PROD-0002,496.13,6,0.01,141.35,Furniture,Tables,Picture Tables
11,CUST-0050,Preston Anderson,Corporate,USA,Carrieport,South Carolina,56153,West,ORD-45990,2024-03-30,2024-04-06,Second Class,PROD-0002,1599.34,10,0.1,143.75,Furniture,Tables,Picture Tables
12,CUST-0095,Stacey Lee,Home Office,USA,Sanchezstad,Oregon,62355,East,ORD-10048,2024-09-11,2024-09-15,First Class,PROD-0002,726.89,8,0.3,125.99,Furniture,Tables,Picture Tables
13,CUST-0203,Stephanie Yoder,Corporate,USA,Tuckerton,Hawaii,30340,Central,ORD-98378,2023-10-30,2023-11-04,Same Day,PROD-0002,1611.09,6,0.2,473.93,Furniture,Tables,Picture Tables
